HSE团队名称,合计账单（万元）
sip_dv,48.81163190997489
Processor,3.997596297513835
interconnect,3.74324709520073
SoCDV & SYSIPDV,7.247585177719607
Cluster,3.290178445425433
SocPV,2.871306879608164
SysDV & CommonIPDV,2.6294407414364773
mc ipdv,1.7602811435689716
DCE IPDV,3.3076259267955965
APP & SIP_Design,6.379665630596703
SOCDE,1.3445851853591193
IMPL_IP_Dev,0.5948851853591194
IP_fabri,0.37485
NPE&IP_amos,0.3332
package,0.3332
DFX,19.445584105702924
Platform,20.415601782114912
Impl-FE,12.550238953369725
SIPI,1.9430194766848627
Impl-Analog,1.9242926355798171
Impl-BE,53.430389999999996
