"队列","主机组","主机总Slot","主机总内存","队列最大Slot","运行中Slot","等待中Slot","Slot利用率","作业最大内存","最大可用内存","可用内存利用率","实际内存利用率","已使用内存","已请求内存","请求内存使用率","Slot平均使用内存","主机内存占比"
ad,"middle_end_small_hosts/, middle_end_middle_hosts/, middle_end_large_hosts/",8662,107 TiB,8662,930,0,11%,-,4 TiB,14.1%,4.41%,181 GiB,577 GiB,31%,199 MiB,0%
cluster,hse_front_end_hosts/,15438,181 TiB,500,14,0,3%,200 GiB,-,-,-,17.6 GiB,86.0 GiB,20%,1.26 GiB,0%
cluster_debug,hse_front_end_hosts/,15438,181 TiB,64,35,0,55%,200 GiB,-,-,-,76.7 GiB,367 GiB,21%,2.19 GiB,0%
cmndv_debug,hse_front_end_hosts/,15438,181 TiB,100,99,36,99%,-,-,-,-,52.8 GiB,97.7 GiB,54%,546 MiB,0%
cmndv_perf,hse_front_end_hosts/,15438,181 TiB,0,0,0,0%,-,-,-,-,0 B,0 B,0%,0 B,0%
cmndv_regr,hse_front_end_hosts/,15438,181 TiB,200,18,0,9%,-,-,-,-,19.0 GiB,89.0 GiB,21%,1.05 GiB,0%
dft_atpg,"middle_end_small_hosts/, middle_end_middle_hosts/, middle_end_large_hosts/",8662,107 TiB,8662,174,0,2%,-,4 TiB,52.5%,13.3%,546 GiB,2.10 TiB,25%,3.14 GiB,0%
dft_atpg_heavy,"middle_end_small_hosts/, middle_end_middle_hosts/, middle_end_large_hosts/",8662,107 TiB,8662,96,0,1%,-,27.5 TiB,41.4%,31.7%,8.71 TiB,11.4 TiB,76%,92.9 GiB,8%
dft_middle,"middle_end_small_hosts/, middle_end_middle_hosts/, middle_end_large_hosts/",8662,107 TiB,8662,182,0,2%,-,8 TiB,56.8%,12.6%,1.01 TiB,4.55 TiB,22%,5.66 GiB,1%
dte,hse_front_end_hosts/,15438,181 TiB,50,17,0,34%,-,-,-,-,10.2 GiB,53.9 GiB,19%,617 MiB,0%
dte_regr,hse_front_end_hosts/,15438,181 TiB,200,7,0,4%,-,-,-,-,1.41 GiB,104 GiB,1%,207 MiB,0%
dvm,hse_lab_hosts/,198,1.51 TiB,2000,2,0,0%,-,-,-,-,98 MiB,2 GiB,5%,49 MiB,0%
